package_id,review_id,cid,url,title,text,label,sentiment
01,ptt_30_1,ptt_30_c1,,,都說了，就別執著了。而且也沒意義，吃不了那麼高。,unrelated,neutral
01,ptt_30_2,ptt_30_c2,,,走PD3.2，可能只有17PRO能吃滿也說不定，當專用即可,unrelated,neutral
01,ptt_30_3,ptt_30_c3,,,#1emPiow4 (MobileComm),unrelated,neutral
01,ptt_30_4,ptt_30_c4,,,typec懂的都懂,unrelated,neutral
01,ptt_30_5,ptt_30_c5,,,我上個月買Google Pixel Flex 67W雙C充電頭 支援AVS,real,positive
01,ptt_30_6,ptt_30_c6,,,https://reurl.cc/7VL655 比Apple的實用很多,unrelated,positive
01,ptt_30_7,ptt_30_c7,,,可以同時充MacBook+iPhone/iPad/AirPods ...,real,positive
01,ptt_30_8,ptt_30_c8,,,最新PD3.2協議 SPR AVS  台達代工的,unrelated,neutral
01,ptt_30_9,ptt_30_c9,,,等I 17ProMax/i17基本款寄來就測一下峰值/平均功率溫度,real,neutral
01,ptt_30_10,ptt_30_c10,,,為啥我買67w副廠頭從30%充怎麼都只跑16~18w 50%之後降,unrelated,negative
01,ptt_30_11,ptt_30_c11,,,iPhone 17除外 其他之前出的都只支援固定壓PD 電池越小,unrelated,neutral
01,ptt_30_12,ptt_30_c12,,,功率越低,unrelated,negative
01,ptt_30_13,ptt_30_c13,,,就算是16ProMax穩定峰值功率也不過27~28W,unrelated,neutral
01,ptt_30_14,ptt_30_c14,,,完整充滿要兩個多小時 充電溫度也不低 平均功能十幾瓦,charging time is approximately 2 hours,positive
01,ptt_30_15,ptt_30_c15,,,平均功率*,unrelated,neutral
01,ptt_30_16,ptt_30_c16,,,i16PM PD15v https://i.imgur.com/6VVCUT1.jpeg,unrelated,neutral
01,ptt_30_17,ptt_30_c17,,,功率越充越低正常喔 手機發熱也是降功率,unrelated,neutral
01,ptt_30_18,ptt_30_c18,,,80%以上慢慢涓流,unrelated,positive
01,ptt_30_19,ptt_30_c19,,,Google那顆看起來不錯耶,unrelated,positive
01,ptt_30_20,ptt_30_c20,,,gray介紹的Pixel Flex 67W充電器看起來很讚,unrelated,positive
01,ptt_30_21,ptt_30_c21,,,*gary,unrelated,neutral
01,ptt_30_22,ptt_30_c22,,,50%之後12-14w在充 反正副廠跟原廠30%開充差10分鐘左右滿,unrelated,positive
