package_id,review_id,cid,cauthorid,cauthor,id,origin,url,title,html,text,dateCrawled,datePublished,dateUpdated,label,sentiment
01,ptt_30_1,ptt_30_c1,,zxcbrian,1241e035-840b-52b4-95dc-51466fe6e13d,TAIPEITECH,,,"<html>
<body>
都說了，就別執著了。而且也沒意義，吃不了那麼高。
</body>
</html>",都說了，就別執著了。而且也沒意義，吃不了那麼高。,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_2,ptt_30_c2,,zxcbrian,f85b1a2c-c2ca-5e9f-af26-29b3cc5836d8,TAIPEITECH,,,"<html>
<body>
走PD3.2，可能只有17PRO能吃滿也說不定，當專用即可
</body>
</html>",走PD3.2，可能只有17PRO能吃滿也說不定，當專用即可,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_3,ptt_30_c3,,zxcbrian,5753c9ec-78fe-58cd-b562-71bb475bd6db,TAIPEITECH,,,"<html>
<body>
#1emPiow4 (MobileComm)
</body>
</html>",#1emPiow4 (MobileComm),2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_4,ptt_30_c4,,coneflwer,9ac5dfa5-a841-556a-98cf-f55fdb3b27d7,TAIPEITECH,,,"<html>
<body>
typec懂的都懂
</body>
</html>",typec懂的都懂,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_5,ptt_30_c5,,gary8442,782b1a4a-8d14-546a-9687-831ebdd01fd2,TAIPEITECH,,,"<html>
<body>
我上個月買Google Pixel Flex 67W雙C充電頭 支援AVS
</body>
</html>",我上個月買Google Pixel Flex 67W雙C充電頭 支援AVS,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_6,ptt_30_c6,,gary8442,20b42b04-9d2e-5cc7-bb69-fd652f725961,TAIPEITECH,,,"<html>
<body>
https://reurl.cc/7VL655 比Apple的實用很多
</body>
</html>",https://reurl.cc/7VL655 比Apple的實用很多,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_7,ptt_30_c7,,gary8442,53c0adcb-9142-547c-8fe0-e896d8e6d699,TAIPEITECH,,,"<html>
<body>
可以同時充MacBook+iPhone/iPad/AirPods ...
</body>
</html>",可以同時充MacBook+iPhone/iPad/AirPods ...,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_8,ptt_30_c8,,gary8442,a4bec18e-7082-537c-a0d3-0a5376ef873a,TAIPEITECH,,,"<html>
<body>
最新PD3.2協議 SPR AVS  台達代工的
</body>
</html>",最新PD3.2協議 SPR AVS  台達代工的,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_9,ptt_30_c9,,gary8442,418faaf7-5a58-551f-8057-04ba35d8580b,TAIPEITECH,,,"<html>
<body>
等I 17ProMax/i17基本款寄來就測一下峰值/平均功率溫度
</body>
</html>",等I 17ProMax/i17基本款寄來就測一下峰值/平均功率溫度,2025-09-17T00:00:00,,,unrelated,neutral
01,ptt_30_10,ptt_30_c10,,i015027,080b62e6-31f8-53f5-8e94-62e18f35cc80,TAIPEITECH,,,"<html>
<body>
為啥我買67w副廠頭從30%充怎麼都只跑16~18w 50%之後降
</body>
</html>",為啥我買67w副廠頭從30%充怎麼都只跑16~18w 50%之後降,2025-09-17T00:00:00,,,unrelated,neutral
